,prefix,dataset,subject,fwh,mask,stat,mean,std
357,rr.rs,ds002338,sub-xp207,4,union,sig,4.281600850092673,0.4821149750107434
356,rr.rs,ds000256,sub-CTS210,12,union,std,0.004384644329547882,0.003898072987794876
355,rr.rs,ds001748,sub-adult15,5,union,mean,0.6549520492553711,0.1897687017917633
354,rr,ds000256,sub-CTS210,13,union,std,0.006039843894541264,0.005380149465054274
353,rs,ds000256,sub-CTS201,12,union,mean,0.6950106024742126,0.1523309201002121
352,rr.rs,ds000256,sub-CTS201,7,union,sig,3.0812216830099404,0.07598471268083545
351,rs,ds001771,sub-36,6,union,mean,0.6787115335464478,0.14390388131141663
350,rr,ds001600,sub-1,10,union,sig,7.445236068192987,1.452923602810532
349,rr.rs,ds002338,sub-xp207,20,union,sig,6.223629950156288,0.44956255619448693
348,rr.rs,ds001748,sub-adult15,14,union,mean,0.6142780184745789,0.16809049248695374
