,prefix,subject,fwh,mask,stat,mean,std
1309,rs,sub-36,12,union,std,0.47915294766426086,0.38559815287590027
1308,rr.rs,sub-CTS210,4,union,mean,116.05363464355469,12.635361671447754
1307,rr.rs,sub-CTS201,18,union,sig,9.238015029800467,0.9590149479299424
1306,rr,sub-CTS210,0,union,std,3.856428861618042,3.424143075942993
1305,rs,sub-1,5,union,mean,682.1126708984375,109.51380920410156
1304,rr.rs,sub-xp201,7,union,mean,634.9365844726562,83.67499542236328
1303,rr.rs,sub-adult15,4,union,mean,3888.752197265625,1037.51953125
1302,rs,sub-adult16,12,union,std,7.077365398406982,7.258101463317871
1301,rr,sub-adult16,3,union,std,16.7567138671875,22.001371383666992
1300,rr.rs,sub-CTS201,10,union,sig,9.074154073362449,1.1500126506805166
1299,rs,sub-xp207,15,union,mean,454.3663024902344,41.30672836303711
1298,rr,sub-adult15,0,union,std,44.31607437133789,61.75257110595703
1297,rr,sub-CTS201,3,union,mean,396.76129150390625,68.14737701416016
1296,rs,sub-xp201,13,union,std,0.563275158405304,0.46286556124687195
1295,rr.rs,sub-xp201,12,union,sig,5.847333557994061,1.4207167730452521
1294,rr,sub-CTS210,8,union,std,0.5647684931755066,0.6079220771789551
1293,rr.rs,sub-xp201,15,union,mean,622.1158447265625,66.4681625366211
1292,rs,sub-CTS201,15,union,sig,8.732705535737557,0.7645456486548298
1291,rr.rs,sub-xp207,12,union,std,0.991686224937439,1.382912039756775
1290,rs,sub-1,3,union,std,4.143069744110107,4.265651226043701
1289,rs,sub-xp207,13,union,sig,8.304680283062279,0.8560658490752989
1288,rs,sub-xp207,17,union,sig,8.445947090582107,0.7461177234551924
1287,rr.rs,sub-xp207,16,union,std,0.8035710453987122,0.8329329490661621
1286,rs,sub-1,7,union,std,2.9247677326202393,1.5476197004318237
1285,rs,sub-CTS201,11,union,sig,8.679695014464706,0.8576912476932569
1284,rr.rs,sub-CTS201,14,union,sig,9.187692902453772,1.0394080327720105
1283,rr.rs,sub-xp201,16,union,sig,5.9416178731649785,1.4356252115938475
1282,rs,sub-xp201,17,union,std,0.4823518395423889,0.34164050221443176
1281,rr,sub-adult15,4,union,std,19.09052085876465,22.512252807617188
1280,rs,sub-CTS210,15,union,mean,113.48957061767578,6.830611705780029
1279,rr,sub-CTS210,12,union,std,0.3672322928905487,0.37036994099617004
1278,rr.rs,sub-36,10,union,mean,401.61431884765625,42.94255065917969
1277,rr,sub-CTS210,16,union,mean,113.08052825927734,6.738129138946533
1276,rr,sub-CTS201,20,union,std,0.40686070919036865,0.24231253564357758
1275,rs,sub-1,19,union,sig,7.051194709894162,0.3005218684763723
1274,rr,sub-adult15,15,union,mean,3811.54736328125,599.9924926757812
1273,rr.rs,sub-36,11,union,std,0.526589035987854,0.45564356446266174
1272,rr.rs,sub-adult16,17,union,std,6.1539387702941895,5.661670207977295
1271,rr,sub-CTS210,19,union,mean,112.38932037353516,6.808341979980469
1270,rr.rs,sub-36,15,union,std,0.446402907371521,0.3078067898750305
1269,rs,sub-CTS201,5,union,mean,394.8279113769531,59.54731750488281
1268,rs,sub-adult16,12,union,mean,5530.10791015625,906.462890625
1267,rs,sub-CTS201,13,union,mean,388.75775146484375,43.535255432128906
1266,rr.rs,sub-adult16,19,union,mean,5466.296875,732.0817260742188
1265,rr.rs,sub-adult16,13,union,std,6.940662860870361,6.760388374328613
1264,rr,sub-CTS201,10,union,mean,391.1663513183594,46.999732971191406
1263,rr,sub-xp207,13,union,mean,455.6296081542969,44.071937561035156
1262,rr,sub-CTS210,16,union,std,0.29192858934402466,0.2760470509529114
1261,rr.rs,sub-adult16,16,union,mean,5494.421875,793.4223022460938
1260,rr.rs,sub-adult16,2,union,mean,5654.6748046875,1539.695556640625
1259,rr,sub-1,15,union,mean,672.5592041015625,69.3804931640625
1258,rs,sub-1,15,union,sig,7.034119523116022,0.31583524733049173
1257,rr,sub-xp201,20,union,std,0.41939854621887207,0.324968159198761
1256,rr,sub-CTS201,7,union,sig,9.074252059907923,1.1971641902716859
1255,rr,sub-adult15,13,union,sig,8.452984856047667,0.8380565902356782
1254,rr,sub-xp207,20,union,sig,8.921610963072926,0.8921103894867658
1253,rs,sub-36,2,union,std,1.5219680070877075,2.1783416271209717
1252,rr,sub-CTS201,3,union,sig,8.538995320319174,1.5040305607415692
1251,rs,sub-36,6,union,std,0.7457752227783203,0.8618797659873962
1250,rr,sub-adult15,17,union,sig,8.608911377924775,0.7218758026275809
